name,position
Taneti Maamau,President
Taneti Maamau,Minister for Office of te Beretitenti
Dr. Teuea Toatu,Vice President
Dr. Teuea Toatu,Minister for Finance and Economic Development
Ribwanataake Awira,Minister for Fisheries and Marine Resources Development
Ruateki Tekaiara,"Minister for Environment, Lands and Agriculture Development"
Alexander Teabo,Minister for Education
Dr. Tinte Itinteang,Minister for Health and Medical Services
Martin Moreti,"Minister for Women, Youth, Sports and Social Affairs"
Tabeta Teakai,Minister for Employment and Human Resources
Bootii Nauan,Minister for Commerce and Industry & Cooperative
Tekeeua Tarati,"Minister for Information, Communication, Transport and Tourism Development"
Mikarite Temari,Minister for Lines and Phoenix Islands Development
Boutu Bateriki,Minister for Internal Affairs
Tarakabu Tofinga,Minister of Justice
Willie Tokataake,Minister for Infrastructure & Sustainable Development
